   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000    -0.100000   7.89837491   5.06266468
2.000000    10.000000    -0.100000   8.55924315   6.66001819
3.000000    10.000000    -0.100000   6.56107424   5.00313279
4.000000    10.000000    -0.100000   6.73456931   8.12341848
5.000000    10.000000    -0.100000   0.24109255  -0.13546313
6.000000    10.000000    -0.100000   3.33318074   4.14707669
7.000000    10.000000    -0.100000   8.52841993   9.27708820
8.000000    10.000000    -0.100000   4.95414664   6.84691883
9.000000     1.000000    -0.100000   0.02368200  -0.01385617
10.000000    10.000000    -0.100000   1.74151217  18.23241118
11.000000    10.000000    -0.100000   5.67788205  -0.89006735
12.000000    10.000000    -0.100000   1.51476310  12.65174754
13.000000    10.000000    -0.100000   8.80704967   3.50004183
14.000000    10.000000    -0.100000   5.83031968  -3.75069016
15.000000    10.000000    -0.100000   3.68078126  16.88352320
16.000000    10.000000    -0.100000   3.18883040   3.47760562
17.000000    10.000000    -0.100000   1.62417029   1.24756563
18.000000    10.000000    -0.100000   0.75516899   0.03312206
19.000000    10.000000    -0.100000   2.88426032   0.39407531
20.000000    10.000000    -0.100000   7.80605783  18.30420215
21.000000    10.000000    -0.100000   7.00312810 -14.48585373
22.000000    10.000000    -0.100000   7.85458152 -47.10026194
23.000000    10.000000    -0.100000   3.60341802 -27.98006175
24.000000    10.000000    -0.100000   4.06530861 -27.12667576
25.000000     2.000000    -0.100000   0.59519341   0.60659959
26.000000     2.000000    -0.100000   0.99415579  -0.99966956
27.000000     2.000000    -0.100000   1.67574578   0.88649075
28.000000     2.000000    -0.100000   0.00030518  -0.00103919
29.000000    10.000000    -0.100000   4.14831769  18.96518268
30.000000    10.000000    -0.100000   6.87602045   7.64239656
31.000000    10.000000    -0.100000   6.72938125 -20.70541992
32.000000    10.000000    -0.100000   7.21599145  17.75564543
33.000000    10.000000    -0.100000   6.90196078 145.04097230
34.000000     2.000000    -0.100000   1.44881361   1.43908741
