   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000     0.000000   0.14084077   0.18568677
2.000000    10.000000     0.000000   4.05386435   4.08795019
3.000000    10.000000     0.000000   4.71808957   4.77233738
4.000000    10.000000     0.000000   3.81628138   3.00674418
5.000000    10.000000     0.000000   0.55954833   0.77492537
6.000000    10.000000     0.000000   2.12680247   2.14188049
7.000000    10.000000     0.000000   2.77302205   2.07281116
8.000000    10.000000     0.000000   2.32089723   4.91744804
9.000000     0.500000     0.000000   0.16578927   0.19854394
10.000000    10.000000     0.000000   6.03006027   6.64844676
11.000000    10.000000     0.000000   8.44983597  10.01338757
12.000000    10.000000     0.000000   0.42404822   0.30675921
13.000000    10.000000     0.000000   7.86953536   7.52881259
14.000000    10.000000     0.000000   7.27565423   8.37477723
15.000000    10.000000     0.000000   8.30380713   4.75582192
16.000000    10.000000     0.000000   2.94972152   3.05607797
17.000000    10.000000     0.000000   0.43579767   0.48327951
18.000000    10.000000     0.000000   7.92996109   7.39234557
19.000000     5.000000     0.000000   4.87541009   8.51379255
20.000000     5.000000     0.000000   1.36652171   1.51224546
21.000000     5.000000     0.000000   1.85961700   2.44203005
22.000000     5.000000     0.000000   4.39269093   4.25364855
23.000000     5.000000     0.000000   1.71061265   1.84249768
24.000000     5.000000     0.000000   4.62966354   8.19511965
25.000000     1.000000     0.000000   0.86054780  -0.86772997
26.000000     1.000000     0.000000   0.25380331  -0.05198485
27.000000     1.000000     0.000000   0.51882200   0.58550581
28.000000     1.000000     0.000000   0.64237430   0.61757643
29.000000     5.000000     0.000000   2.47768368   2.17193661
30.000000     5.000000     0.000000   4.62081331   5.90804174
31.000000     5.000000     0.000000   2.64476997   2.42515542
32.000000     5.000000     0.000000   2.11100938   2.71793219
33.000000     5.000000     0.000000   3.00404364   1.73337250
