   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000     0.000000   2.11703670   1.62676252
2.000000    10.000000     0.000000   6.49881743   4.53883110
3.000000    10.000000     0.000000   4.96620127   4.30944040
4.000000    10.000000     0.000000   1.08995193   1.32257504
5.000000    10.000000     0.000000   4.23819333   3.14641175
6.000000    10.000000     0.000000   9.17631800   9.43786897
7.000000    10.000000     0.000000   5.11406119   6.17046815
8.000000    10.000000     0.000000   1.72732128   1.98690489
9.000000     0.500000     0.000000   0.13666743   0.15998814
10.000000    10.000000     0.000000   4.59052415  10.62196719
11.000000    10.000000     0.000000   2.39566644   2.51250128
12.000000    10.000000     0.000000   3.02784771   8.14287408
13.000000    10.000000     0.000000   5.59273671   6.23569752
14.000000    10.000000     0.000000   6.98680095   3.12980823
15.000000    10.000000     0.000000   2.60318914  -3.80046035
16.000000    10.000000     0.000000   9.84023804   7.48926816
17.000000    10.000000     0.000000   0.32181277   0.39882929
18.000000    10.000000     0.000000   7.67223621   8.29317338
19.000000     5.000000     0.000000   3.63370718   9.54269784
20.000000     5.000000     0.000000   3.83405814   7.54507014
21.000000     5.000000     0.000000   1.52315557  -0.93752911
22.000000     5.000000     0.000000   1.68932631   0.76787327
23.000000     5.000000     0.000000   2.96551461   3.20791807
24.000000     5.000000     0.000000   3.45883879   2.96171969
25.000000     1.000000     0.000000   0.14216831   0.13972312
26.000000     1.000000     0.000000   0.35829709   0.42745042
27.000000     1.000000     0.000000   0.53170062   0.48539040
28.000000     1.000000     0.000000   0.29460594   0.03775758
29.000000     5.000000     0.000000   0.88479438   1.15904907
30.000000     5.000000     0.000000   1.16144045   1.26301696
31.000000     5.000000     0.000000   2.71320668   2.59927998
32.000000     5.000000     0.000000   3.32501717   2.77099774
33.000000     5.000000     0.000000   3.52452888   4.12657297
